Absolute Time, HF [raw], HF [uV], Acc X [mg], Acc Y [mg], Acc Z [mg], Gyro X [mdps], Gyro Y [mdps], Gyro Z [mdps], SkinT [degC], AmbT [degC], HR [bpm], SPO2 [%], Conf [%]
14:52:13,0,25.391,420.229,887.001,80.764,70,-140,280,23.17,22.04,0,0,0
14:53:13,0,236.328,251.076,-647.393,655.933,0,-38920,-5320,26.15,23.84,0,0,0
14:54:13,0,300.781,-769.576,-654.408,-62.586,770,-630,490,28.24,25.05,0,0,0
14:55:13,0,246.094,-805.566,-1998.604,700.219,-9240,129780,327390,28.34,26.19,0,0,0
14:56:13,0,218.75,-388.509,-159.82,326.289,15610,-61390,-141120,28.56,26.7,0,0,0
14:57:13,0,201.172,-768.356,-616.405,222.04,350,-210,420,28.72,26.96,0,0,0
14:58:13,0,197.266,-533.75,-953.491,208.803,-490,-22470,-350,28.97,27.23,0,0,0
14:59:13,0,191.406,-156.343,-783.118,632.204,0,350,-1120,29.1,27.41,0,0,0
15:00:13,0,189.453,-200.995,-207.949,967.094,630,-140,-210,29.2,27.58,0,0,0
15:01:13,0,179.688,-229.97,-324.703,939.766,0,210,560,29.25,27.68,0,0,0
15:02:13,0,164.063,-240.828,-408.456,895.297,490,-210,140,29.32,27.83,0,0,0
15:03:13,0,148.438,-182.207,-482.327,901.763,-1120,140,-2450,29.33,27.95,0,0,0
15:04:13,0,136.719,-306.708,-507.825,830.515,980,140,1820,29.39,28.08,0,0,0
15:05:13,0,128.906,-228.262,-490.684,853.939,910,-1260,-350,29.43,28.16,0,0,0
15:06:13,0,123.047,-244.732,-492.636,852.902,1400,-770,210,29.45,28.25,0,0,0
15:07:13,0,119.141,-240.706,-507.215,848.876,560,630,210,29.5,28.32,0,0,0
15:08:13,0,113.281,-118.279,-260.226,968.009,560,-210,70,29.58,28.4,0,0,0
15:09:13,0,103.516,-113.826,-303.536,960.75,280,-280,70,29.61,28.45,0,0,0
15:10:13,0,87.891,-72.712,-384.849,940.742,-910,-1610,-1120,29.63,28.52,0,0,0
15:11:13,0,78.125,-66.734,-478.911,881.267,-1260,-7000,-2800,29.61,28.59,0,0,0
15:12:13,0,66.406,-379.786,-496.357,802.211,280,-420,-560,29.64,28.67,0,0,0
15:13:13,0,58.594,-401.868,-553.819,749.385,630,-140,-70,29.65,28.71,0,0,0
15:14:13,0,60.547,-440.542,-534.787,744.2,630,-560,-490,29.65,28.74,0,0,0
15:15:13,0,64.453,-450.302,-514.901,745.725,630,-420,70,29.64,28.74,0,0,0
15:16:13,0,68.359,-440.237,-516.67,752.191,350,-280,350,29.62,28.72,0,0,0
15:17:13,0,74.219,-442.25,-557.479,731.512,770,-770,280,29.66,28.71,0,0,0
15:18:13,0,78.125,-364.658,-605.547,734.745,140,0,-210,29.67,28.69,0,0,0
15:19:13,0,80.078,-395.646,-578.463,730.17,140,280,420,29.64,28.66,0,0,0
15:20:13,0,80.078,-264.191,-628.727,754.204,910,140,350,29.61,28.63,0,0,0
15:21:13,0,82.031,-394.304,-366.488,857.355,560,70,-70,29.59,28.59,0,0,0
15:22:13,0,83.984,-346.297,-664.351,692.594,2450,-1960,-490,29.55,28.55,0,0,0
15:23:13,0,89.844,-309.575,-762.134,601.948,560,-420,-140,29.58,28.53,0,0,0
15:24:13,0,93.75,-238.449,-767.319,627.385,140,140,1120,29.62,28.53,0,0,0
15:25:13,0,91.797,-422.059,-409.127,816.79,700,-350,280,29.58,28.49,0,0,0
15:26:13,0,87.891,-380.762,-417.911,831.491,490,-1330,1820,29.45,28.42,0,0,0
15:27:13,0,83.984,-361.547,-419.863,837.225,1120,-1400,-910,29.41,28.39,0,0,0
15:28:13,0,80.078,-398.574,-430.965,822.585,490,-70,140,29.36,28.37,0,0,0
15:29:13,0,78.125,-357.643,-425.841,845.399,700,-840,560,29.3,28.34,0,0,0
15:30:13,0,76.172,-87.413,-780.495,678.381,4410,2730,-1750,29.31,28.34,0,0,0
15:31:13,0,82.031,-168.116,-742.797,679.601,0,350,770,29.4,28.37,0,0,0
15:32:13,0,89.844,-132.736,-760.609,671.244,-2170,-700,280,29.48,28.4,0,0,0
15:33:13,0,91.797,-162.016,-812.886,601.216,-70,-980,420,29.48,28.4,0,0,0
15:34:13,0,95.703,-103.456,-965.569,311.832,1050,0,1330,29.47,28.37,0,0,0
15:35:13,0,99.609,-86.986,-965.752,358.802,210,-490,-210,29.42,28.33,0,0,0
15:36:13,0,99.609,-200.934,-936.838,345.321,490,-140,0,29.38,28.26,0,0,0
15:37:13,0,101.563,-206.485,-955.931,289.384,560,350,770,29.34,28.19,0,0,0
15:38:13,0,105.469,-188.368,-965.569,284.016,490,70,-70,29.28,28.14,0,0,0
15:39:13,0,107.422,-190.991,-961.665,286.151,560,1820,-910,29.23,28.11,0,0,0
15:40:13,0,111.328,-588.833,-624.701,715.652,111930,84980,20510,29.14,28.05,0,0,0
15:41:13,0,109.375,-326.96,-965.081,-14.091,420,-70,70,29.1,28,0,0,0
15:42:13,0,111.328,-333.243,-962.153,-75.701,700,-420,140,29.09,27.96,0,0,0
15:43:13,0,113.281,-338.367,-957.395,-29.646,910,0,-630,29.07,27.93,0,0,0
15:44:13,0,109.375,-411.872,-370.331,848.205,1330,4760,-70,28.98,27.87,0,0,0
15:45:13,0,111.328,-346.846,-376.248,872.788,700,630,350,28.92,27.81,0,0,0
15:46:13,0,113.281,-388.021,-385.886,856.623,560,-350,0,28.9,27.77,0,0,0
15:47:13,0,113.281,-355.752,-379.115,869.677,420,-3710,-140,28.88,27.76,0,0,0
15:48:13,0,109.375,-331.352,-344.467,892.186,-630,-3430,1470,28.85,27.75,0,0,0
15:49:13,0,109.375,-187.087,-400.038,911.523,770,700,140,28.83,27.74,0,0,0
15:50:13,0,107.422,-409.005,-390.644,849.791,210,-3220,-630,28.81,27.73,0,0,0
15:51:13,0,103.516,-494.954,-331.535,809.287,840,-1540,-70,28.79,27.71,0,0,0
15:52:13,0,105.469,-106.689,-388.387,930.86,630,-70,140,28.78,27.68,0,0,0
15:53:13,0,103.516,-214.842,-389.18,911.584,490,-140,70,28.75,27.67,0,0,0
15:54:13,0,101.563,-729.011,-691.984,110.471,7840,-1540,19040,28.7,27.63,0,0,0
15:55:13,0,103.516,148.535,-1004.609,127.185,3990,-70,2730,28.73,27.63,0,0,0
15:56:13,0,111.328,136.823,-1009.306,51.118,490,-210,70,28.84,27.67,0,0,0
15:57:13,0,119.141,144.082,-1006.012,142.557,560,-350,350,28.93,27.72,0,0,0
15:58:13,0,113.281,143.716,-1002.962,146.339,560,-140,0,28.95,27.77,0,0,0
15:59:13,0,107.422,-732.732,-703.574,-32.086,910,0,-560,28.91,27.79,0,0,0
16:00:13,0,101.563,-760.914,-670.573,-30.073,420,-630,560,28.88,27.78,0,0,0
16:01:13,0,97.656,-714.615,-714.615,-66.185,0,-210,210,28.86,27.77,0,0,0
16:02:13,0,95.703,-583.77,-803.004,92.293,12880,3080,1610,28.81,27.77,0,0,0
