Absolute Time, HF [raw], HF [uV], Acc X [mg], Acc Y [mg], Acc Z [mg], Gyro X [mdps], Gyro Y [mdps], Gyro Z [mdps], SkinT [degC], AmbT [degC], HR [bpm], SPO2 [%], Conf [%]
14:53:40,0,50.781,-23.546,-8.662,997.106,350,-70,-70,22.95,21.41,0,0,0
14:54:40,0,-39.063,-695.705,352.58,387.167,30170,61810,-99750,23.83,23.38,0,0,0
14:55:40,0,46.875,-833.26,469.639,-60.024,-63700,-51870,-26530,23.81,23.38,0,0,0
14:56:40,0,548.828,-829.234,-534.848,319.945,-26460,-25760,8190,28.69,25.75,0,0,0
14:57:40,0,369.141,-718.458,-489.403,-505.568,-8750,1400,2030,32.35,28.23,0,0,0
14:58:40,0,294.922,-888.709,-457.439,-57.645,-1470,-3640,1190,32.67,29.82,0,0,0
14:59:40,0,255.859,-996.252,-240.035,-114.375,-20300,-29120,-10010,32.82,30.43,0,0,0
15:00:40,0,232.422,-757.559,-599.508,265.106,-28630,-770,2590,33.06,30.92,0,0,0
15:01:40,0,214.844,-820.45,-439.627,354.654,4060,-490,-560,33.2,31.24,0,0,0
15:02:40,0,199.219,-952.942,-279.014,72.285,-4130,-980,70,33.4,31.55,0,0,0
15:03:40,0,189.453,-729.987,-568.093,397.415,-1260,1540,350,33.52,31.78,0,0,0
15:04:40,0,195.313,-812.703,-516.121,243.512,280,140,420,33.68,32.02,0,0,0
15:05:40,0,175.781,-793.305,-496.601,355.142,-1820,1610,-1260,33.81,32.18,0,0,0
15:06:40,0,171.875,-775.188,-470.31,408.029,210,-2450,-1470,33.93,32.36,0,0,0
15:07:40,0,162.109,-822.036,-503.86,270.901,-13930,-8960,7910,34.02,32.5,0,0,0
15:08:40,0,156.25,-957.578,-224.663,68.808,-70,910,-770,34.11,32.65,0,0,0
15:09:40,0,154.297,-595.421,-626.165,452.864,3500,-3780,-700,34.21,32.76,0,0,0
15:10:40,0,150.391,-636.962,-552.233,525.881,0,210,280,34.31,32.89,0,0,0
15:11:40,0,146.484,-583.953,-568.825,558.76,-560,-1540,-490,34.37,32.97,0,0,0
15:12:40,0,146.484,-588.711,-557.357,579.988,70,280,210,34.44,33.04,0,0,0
15:13:40,0,142.578,-626.287,-570.228,510.204,-24010,18480,23450,34.48,33.11,0,0,0
15:14:40,0,146.484,-908.168,-418.338,-51.362,4130,-7490,-2100,34.53,33.18,0,0,0
15:15:40,0,140.625,-703.94,-600.972,349.591,350,-2380,70,34.57,33.23,0,0,0
15:16:40,0,136.719,-796.599,-468.724,388.875,-1960,-420,-2030,34.64,33.3,0,0,0
15:17:40,0,136.719,-891.82,-313.357,349.591,-1260,10430,3430,34.69,33.36,0,0,0
15:18:40,0,144.531,-851.926,-379.481,357.033,560,-560,0,34.71,33.4,0,0,0
15:19:40,0,134.766,-875.411,-354.776,321.226,0,-350,-210,34.71,33.43,0,0,0
15:20:40,0,134.766,-736.27,-441.091,486.414,-2310,-1680,840,34.75,33.47,0,0,0
15:21:40,0,134.766,-964.837,-252.235,78.812,-420,-700,-210,34.77,33.5,0,0,0
15:22:40,0,130.859,-740.052,-542.168,383.202,-2310,-630,210,34.8,33.54,0,0,0
15:23:40,0,128.906,-692.777,-573.4,414.678,350,-70,350,34.82,33.57,0,0,0
15:24:40,0,128.906,-836.737,-501.176,213.012,2380,980,420,34.87,33.6,0,0,0
15:25:40,0,126.953,-787.205,-591.212,246.806,1960,8610,2170,34.91,33.62,0,0,0
